timestamp,emotion,confidence,habit,all_scores
2025-07-19 14:13:40,happy,84.68,Exercise,"{""angry"": 0.03, ""disgust"": 0.0, ""fear"": 0.11, ""happy"": 84.68, ""sad"": 0.33, ""surprise"": 0.0, ""neutral"": 14.85}"
2025-07-19 14:13:57,happy,73.48,Exercise,"{""angry"": 1.08, ""disgust"": 0.01, ""fear"": 9.71, ""happy"": 73.48, ""sad"": 0.41, ""surprise"": 0.14, ""neutral"": 15.16}"
2025-07-19 14:14:15,happy,71.93,Exercise,"{""angry"": 11.63, ""disgust"": 0.14, ""fear"": 2.46, ""happy"": 71.93, ""sad"": 7.86, ""surprise"": 0.01, ""neutral"": 5.97}"
2025-07-19 14:14:31,happy,99.37,Exercise,"{""angry"": 0.0, ""disgust"": 0.0, ""fear"": 0.0, ""happy"": 99.37, ""sad"": 0.03, ""surprise"": 0.0, ""neutral"": 0.6}"
2025-07-19 14:14:46,happy,99.96,Exercise,"{""angry"": 0.03, ""disgust"": 0.0, ""fear"": 0.0, ""happy"": 99.96, ""sad"": 0.0, ""surprise"": 0.0, ""neutral"": 0.01}"
2025-07-19 14:15:29,neutral,70.63,none,"{""angry"": 0.36, ""disgust"": 0.0, ""fear"": 8.5, ""happy"": 3.57, ""sad"": 16.93, ""surprise"": 0.0, ""neutral"": 70.63}"
2025-07-19 14:15:49,neutral,46.29,none,"{""angry"": 13.21, ""disgust"": 0.01, ""fear"": 7.57, ""happy"": 26.11, ""sad"": 6.8, ""surprise"": 0.0, ""neutral"": 46.29}"
2025-07-19 14:16:21,happy,67.0,Music,"{""angry"": 0.0, ""disgust"": 0.0, ""fear"": 0.2, ""happy"": 67.0, ""sad"": 12.09, ""surprise"": 0.0, ""neutral"": 20.71}"
2025-07-19 14:16:35,neutral,69.42,Music,"{""angry"": 0.0, ""disgust"": 0.0, ""fear"": 0.53, ""happy"": 0.65, ""sad"": 29.39, ""surprise"": 0.0, ""neutral"": 69.42}"
2025-07-19 14:23:52,happy,97.75,none,"{""angry"": 0.0, ""disgust"": 0.0, ""fear"": 0.0, ""happy"": 97.75, ""sad"": 0.0, ""surprise"": 0.0, ""neutral"": 2.25}"
